Jackson Sun,43930,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,88380,neutral,0,Low,,,,,http://www.jacksonsun.com/story/tech/reviewedcom/2020/04/09/14-retailers-with-flexible-return-policies-during-the-coronavirus-pandemic/5122241002/
Coloradoan,43930,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,327080,neutral,0,Low,,,,,http://www.coloradoan.com/story/tech/reviewedcom/2020/04/09/14-retailers-with-flexible-return-policies-during-the-coronavirus-pandemic/5122241002/
Kitsap Sun,43930,News,Reviewed 14 retailers with flexible return policies during the coronavirus pandemic,Covid19,289736,neutral,0,Low,,,,,http://www.kitsapsun.com/story/tech/reviewedcom/2020/04/09/14-retailers-with-flexible-return-policies-during-the-coronavirus-pandemic/5122241002/
Chillicothe Gazette,43930,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,27838,neutral,0,Low,,,,,http://www.chillicothegazette.com/story/tech/reviewedcom/2020/04/09/14-retailers-with-flexible-return-policies-during-the-coronavirus-pandemic/5122241002/
Greenville News,43930,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,595408,neutral,0,Low,,,,,http://www.greenvilleonline.com/story/tech/reviewedcom/2020/04/09/14-retailers-with-flexible-return-policies-during-the-coronavirus-pandemic/5122241002/
The Daily Advertiser,43930,News,14 retailers with flexible return policies during the coronavirus pandemic,Covid19,191565,neutral,0,Low,,,,,http://www.theadvertiser.com/story/tech/reviewedcom/2020/04/09/14-retailers-with-flexible-return-policies-during-the-coronavirus-pandemic/5122241002/
Women's Wear Daily,43930,News,"Coronavirus Impact: Ulta Beauty Furloughs Store, Salon Workers",Covid19,750120,neutral,0,Low,,,,,https://wwd.com/business-news/retail/ulta-beauty-furloughs-store-salon-employees-1203558013/
Retail Dive,43930,News,Ulta furloughs store and salon associates as store closures extend,Covid19,262063,neutral,0,Low,,,,,https://www.retaildive.com/news/ulta-furloughs-store-and-salon-associates-as-store-closures-extend/575810/
Springfield News-Leader,43930,News,14 retailers offering more flexible return policies,Covid19,842102,neutral,0,Low,,,,,http://www.news-leader.com/story/tech/reviewedcom/2020/04/09/14-retailers-with-flexible-return-policies-during-the-coronavirus-pandemic/5122241002/
Pensacola News Journal,43930,News,14 retailers offering more flexible return policies,Covid19,302872,neutral,0,Low,,,,,http://www.pnj.com/story/tech/reviewedcom/2020/04/09/14-retailers-with-flexible-return-policies-during-the-coronavirus-pandemic/5122241002/
